






Time,Channel,id,Flags,DLC,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Counter,AbsTime
0.50727,2,1553,196610,8,e1,07,0a,ac,e5,01,48,5c,135,2024-11-16 12:24:15
0.50934,2,1554,196610,8,0c,d2,10,1f,25,08,f7,77,136,2024-11-16 12:24:15
0.50948,2,1555,196610,8,00,00,80,7f,f1,04,19,dc,137,2024-11-16 12:24:15
0.51009,2,259,196610,8,dc,0c,7a,07,22,0e,ff,0c,138,2024-11-16 12:24:15
0.51409,2,259,196610,8,de,0c,79,07,23,0e,fd,0c,139,2024-11-16 12:24:15
0.51608,2,101,196610,8,6a,bc,73,46,0d,25,17,44,140,2024-11-16 12:24:15
0.51809,2,259,196610,8,de,0c,79,07,23,0e,ff,0c,141,2024-11-16 12:24:15
0.51823,2,1552,196610,8,eb,04,00,cc,cd,00,d0,ce,142,2024-11-16 12:24:15
0.51836,2,1553,196610,8,8e,0b,0a,d6,df,01,e4,60,143,2024-11-16 12:24:15
0.52036,2,1554,196610,8,6f,d5,10,1f,25,08,34,7c,144,2024-11-16 12:24:15
0.52049,2,1555,196610,8,00,00,80,08,f4,04,d9,dc,145,2024-11-16 12:24:15
0.52209,2,259,196610,8,df,0c,7a,07,23,0e,ff,0c,146,2024-11-16 12:24:15
0.52609,2,259,196610,8,dd,0c,79,07,23,0e,fe,0c,147,2024-11-16 12:24:15
0.52620,2,101,196610,8,6a,bc,73,46,0d,25,17,44,148,2024-11-16 12:24:15
0.52878,1,486064254,4,7,02,11,44,c4,3f,3e,02,,149,2024-11-16 12:24:15
0.52913,2,1552,196610,8,82,05,00,50,d1,00,31,ef,150,2024-11-16 12:24:15
0.52927,2,1553,196610,8,a4,08,0a,07,e7,01,a2,61,151,2024-11-16 12:24:15
0.52948,1,1281,2,8,00,00,00,00,00,00,00,00,152,2024-11-16 12:24:15
0.53009,2,259,196610,8,dd,0c,79,07,22,0e,ff,0c,153,2024-11-16 12:24:15
0.53046,1,1282,2,8,00,00,00,00,00,8e,8e,8e,154,2024-11-16 12:24:15
0.53138,2,1554,196610,8,3b,d3,10,1f,25,08,4c,78,155,2024-11-16 12:24:15
0.53145,1,1283,2,8,00,48,48,48,48,14,12,12,156,2024-11-16 12:24:15
0.53151,2,1555,196610,8,00,00,80,01,ee,04,75,da,157,2024-11-16 12:24:15
0.53247,1,1284,2,8,01,01,01,01,00,00,00,00,158,2024-11-16 12:24:15
0.53345,1,1285,2,8,00,46,46,46,45,46,46,45,159,2024-11-16 12:24:15
0.53409,2,259,196610,8,dd,0c,79,07,22,0e,fd,0c,160,2024-11-16 12:24:15
0.53608,2,101,196610,8,6a,bc,73,46,0d,25,17,44,161,2024-11-16 12:24:15
0.53809,2,259,196610,8,de,0c,7b,07,23,0e,fe,0c,162,2024-11-16 12:24:15
0.53847,1,1280,2,8,10,00,00,00,00,00,00,00,163,2024-11-16 12:24:15
0.53947,1,1281,2,8,01,00,00,00,00,00,00,00,164,2024-11-16 12:24:15
0.54013,2,1552,196610,8,61,02,00,f0,d0,00,77,07,165,2024-11-16 12:24:15
0.54027,2,1553,196610,8,38,05,0a,10,e6,01,77,5c,166,2024-11-16 12:24:15
0.54046,1,1282,2,8,01,8e,00,00,00,00,00,00,167,2024-11-16 12:24:15
0.54144,1,1283,2,8,01,13,48,48,48,49,48,48,168,2024-11-16 12:24:15
0.54209,2,259,196610,8,de,0c,7b,07,23,0e,fe,0c,169,2024-11-16 12:24:15
0.54240,2,1554,196610,8,43,d3,10,cb,29,08,63,7e,170,2024-11-16 12:24:15
0.54246,1,1284,2,8,41,01,01,01,01,01,01,00,171,2024-11-16 12:24:15
0.54253,2,1555,196610,8,00,00,80,d4,f3,04,cf,df,172,2024-11-16 12:24:15
0.54344,1,1285,2,8,01,45,45,45,45,45,45,45,173,2024-11-16 12:24:15
0.54609,2,259,196610,8,de,0c,7a,07,23,0e,ff,0c,174,2024-11-16 12:24:15
0.54620,2,101,196610,8,6a,bc,73,46,0d,25,17,44,175,2024-11-16 12:24:15
0.54947,1,1281,2,8,02,03,00,00,00,00,00,00,176,2024-11-16 12:24:15
0.55009,2,259,196610,8,de,0c,7b,07,23,0e,fe,0c,177,2024-11-16 12:24:15
0.55047,1,1282,2,8,02,06,00,00,00,00,00,00,178,2024-11-16 12:24:15
