Time,Channel,id,Flags,DLC,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19,Data20,Data21,Data22,Data23,Data24,Data25,Data26,Data27,Data28,Data29,Data30,Data31,Data32,Data33,Data34,Data35,Data36,Data37,Data38,Data39,Data40,Data41,Data42,Data43,Data44,Data45,Data46,Data47,Data48,Data49,Data50,Data51,Data52,Data53,Data54,Data55,Data56,Data57,Data58,Data59,Data60,Data61,Data62,Data63,Counter,AbsTime
0.44209,2,259,196610,10,da,0c,77,07,22,0e,ff,0c,21,0f,1b,0f,85,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,2024-11-16 12:24:15
0.44324,2,1554,196610,11,ef,cc,10,0b,28,08,28,70,0d,ff,ff,7f,7f,b7,06,f3,09,05,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,2024-11-16 12:24:15
0.44337,2,1555,196610,11,00,00,80,a6,f1,04,01,d3,22,7d,53,06,11,a7,05,bc,00,00,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,2024-11-16 12:24:15
0.44609,2,259,196610,10,da,0c,77,07,23,0e,fe,0c,24,0f,1e,0f,84,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,2024-11-16 12:24:15
0.44620,2,101,196610,10,6a,bc,73,46,0d,25,17,44,95,4e,28,44,b3,2d,83,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,2024-11-16 12:24:15
0.45009,2,259,196610,10,db,0c,76,07,24,0e,fe,0c,27,0f,22,0f,85,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,2024-11-16 12:24:15
0.45213,2,1552,196610,11,bc,07,00,77,d2,00,ad,5a,fc,53,99,05,f2,19,05,0c,f3,08,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,2024-11-16 12:24:15
0.45226,2,1553,196610,11,83,03,0a,9b,e2,01,37,5a,08,db,01,03,b6,58,04,c7,f2,05,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,2024-11-16 12:24:15
0.45409,2,259,196610,10,db,0c,77,07,23,0e,fe,0c,2b,0f,26,0f,85,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,2024-11-16 12:24:15
0.45425,2,1554,196610,11,9c,cc,10,4d,27,08,5e,75,0d,ff,ff,7f,19,bb,06,f9,09,05,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,2024-11-16 12:24:15
0.45439,2,1555,196610,11,00,00,80,ca,eb,04,6c,d6,22,41,50,06,fb,a8,05,d7,0b,00,00,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,2024-11-16 12:24:15
0.45607,2,101,196610,10,6a,bc,73,46,0d,25,17,44,95,4e,28,44,b3,2d,83,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,2024-11-16 12:24:15
0.45809,2,259,196610,10,d9,0c,77,07,23,0e,fe,0c,2f,0f,29,0f,84,08,ff,0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,2024-11-16 12:24:15
